id,totalcost,airport,totalduration,flightid,flightcost,drivingcost,parkingcost,timeleavehome,flightdeparture,flightduration,atairporttime,drivingduration
48,285,BWI,1132,2ciqOzND4aTUuEtKvqnX8203Z,248.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,1018,120,72
49,285,BWI,862,2ciqOzND4aTUuEtKvqnX8201x,248.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,850,120,72
50,285,BWI,786,2ciqOzND4aTUuEtKvqnX8201Z,248.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,774,120,72
51,285,BWI,937,2ciqOzND4aTUuEtKvqnX8202C,248.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,925,120,72
52,285,BWI,608,2ciqOzND4aTUuEtKvqnX8200p,248.60,1,36,2016-01-25T12:45,2016-01-25T15:55-05:00,598,120,67
53,285,BWI,674,2ciqOzND4aTUuEtKvqnX82011,248.60,1,36,2016-01-25T12:45,2016-01-25T15:55-05:00,664,120,67
54,286,BWI,875,2ciqOzND4aTUuEtKvqnX82020,249.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,859,120,72
55,286,BWI,800,2ciqOzND4aTUuEtKvqnX8201j,249.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,784,120,72
56,286,BWI,800,2ciqOzND4aTUuEtKvqnX8201k,249.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,784,120,72
57,286,BWI,768,2ciqOzND4aTUuEtKvqnX8200K,249.61,1,36,2016-01-25T13:00,2016-01-25T16:10-05:00,758,120,69
58,286,BWI,768,2ciqOzND4aTUuEtKvqnX8200J,249.61,1,36,2016-01-25T13:00,2016-01-25T16:10-05:00,758,120,69
59,286,BWI,695,2ciqOzND4aTUuEtKvqnX8200I,249.61,1,36,2016-01-25T13:00,2016-01-25T16:10-05:00,685,120,69
60,290,BWI,695,2ciqOzND4aTUuEtKvqnX82013,253.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,678,120,72
61,291,BWI,914,2ciqOzND4aTUuEtKvqnX8202A,254.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,898,120,72
62,292,BWI,647,2ciqOzND4aTUuEtKvqnX8201h,255.60,1,36,2016-01-25T12:45,2016-01-25T15:55-05:00,637,120,67
63,296,BWI,767,2ciqOzND4aTUuEtKvqnX8202d,259.60,1,36,2016-01-25T10:45,2016-01-25T14:01-05:00,751,120,67
64,296,BWI,767,2ciqOzND4aTUuEtKvqnX8202c,259.60,1,36,2016-01-25T10:45,2016-01-25T14:01-05:00,751,120,67
65,296,BWI,812,2ciqOzND4aTUuEtKvqnX8202n,259.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,792,120,67
66,297,BWI,798,2ciqOzND4aTUuEtKvqnX8201n,260.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,787,120,67
67,298,BWI,591,2ciqOzND4aTUuEtKvqnX8200G,261.60,1,36,2016-01-25T04:45,2016-01-25T08:00-05:00,576,120,72
68,298,BWI,598,2ciqOzND4aTUuEtKvqnX8200H,261.60,1,36,2016-01-25T07:15,2016-01-25T10:22-05:00,591,120,67
69,300,BWI,868,2ciqOzND4aTUuEtKvqnX8202b,263.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,992,120,72
70,300,BWI,603,2ciqOzND4aTUuEtKvqnX8200Z,263.60,1,36,2016-01-25T13:45,2016-01-25T17:01-05:00,587,120,68
71,309,BWI,747,2ciqOzND4aTUuEtKvqnX8201l,272.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,736,120,67
72,320,BWI,1047,2ciqOzND4aTUuEtKvqnX8202o,283.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,992,120,72
73,322,BWI,786,2ciqOzND4aTUuEtKvqnX82021,285.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,774,120,72
74,325,BWI,775,2ciqOzND4aTUuEtKvqnX8201y,288.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,758,120,72
75,326,BWI,675,2ciqOzND4aTUuEtKvqnX8201U,289.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,655,120,67
76,326,BWI,863,2ciqOzND4aTUuEtKvqnX8202F,289.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,838,120,72
77,328,BWI,877,2ciqOzND4aTUuEtKvqnX8202H,291.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,860,120,72
78,336,BWI,925,2ciqOzND4aTUuEtKvqnX8202T,299.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,913,120,72
79,340,BWI,855,2ciqOzND4aTUuEtKvqnX8202K,303.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,844,120,67
80,342,BWI,500,2ciqOzND4aTUuEtKvqnX8200i,305.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,488,120,72
81,349,BWI,779,2ciqOzND4aTUuEtKvqnX8202B,312.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,763,120,72
82,350,BWI,995,2ciqOzND4aTUuEtKvqnX8200R,313.59,1,36,2016-01-25T08:00,2016-01-25T11:10-05:00,985,120,68
83,350,BWI,995,2ciqOzND4aTUuEtKvqnX8200Q,313.59,1,36,2016-01-25T08:00,2016-01-25T11:10-05:00,985,120,68
84,350,BWI,1068,2ciqOzND4aTUuEtKvqnX8200S,313.59,1,36,2016-01-25T08:00,2016-01-25T11:10-05:00,1058,120,68
85,350,BWI,820,2ciqOzND4aTUuEtKvqnX8202G,313.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,803,120,72
86,351,BWI,760,2ciqOzND4aTUuEtKvqnX82029,314.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,749,120,67
87,355,BWI,955,2ciqOzND4aTUuEtKvqnX8202x,318.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,968,120,72
88,362,BWI,738,2ciqOzND4aTUuEtKvqnX8202z,325.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,713,120,72
89,363,BWI,818,2ciqOzND4aTUuEtKvqnX8203J,326.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,793,120,72
90,363,BWI,733,2ciqOzND4aTUuEtKvqnX82030,326.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,713,120,67
91,363,BWI,805,2ciqOzND4aTUuEtKvqnX8203K,326.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,794,120,67
92,363,BWI,1033,2ciqOzND4aTUuEtKvqnX8203x,326.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,1021,120,72
93,363,BWI,805,2ciqOzND4aTUuEtKvqnX8203L,326.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,794,120,67
94,367,BWI,863,2ciqOzND4aTUuEtKvqnX8202S,330.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,838,120,72
95,367,BWI,807,2ciqOzND4aTUuEtKvqnX8202M,330.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,782,120,72
96,367,BWI,776,2ciqOzND4aTUuEtKvqnX8203C,330.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,756,120,67
97,367,BWI,695,2ciqOzND4aTUuEtKvqnX82022,330.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,670,120,72
98,368,BWI,794,2ciqOzND4aTUuEtKvqnX8203I,331.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,777,120,72
99,368,BWI,764,2ciqOzND4aTUuEtKvqnX8203B,331.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,752,120,72
100,368,BWI,794,2ciqOzND4aTUuEtKvqnX8203H,331.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,777,120,72
101,383,BWI,805,2ciqOzND4aTUuEtKvqnX8203U,346.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,793,120,72
102,383,BWI,869,2ciqOzND4aTUuEtKvqnX8203e,346.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,844,120,72
103,387,BWI,764,2ciqOzND4aTUuEtKvqnX8203s,350.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,887,120,72
104,393,BWI,913,2ciqOzND4aTUuEtKvqnX8202w,356.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,897,120,72
105,394,BWI,790,2ciqOzND4aTUuEtKvqnX8202U,357.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,778,120,72
106,397,BWI,810,2ciqOzND4aTUuEtKvqnX8202f,360.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,799,120,67
107,397,BWI,837,2ciqOzND4aTUuEtKvqnX8202j,360.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,821,120,72
108,397,BWI,810,2ciqOzND4aTUuEtKvqnX8202e,360.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,799,120,67
109,397,BWI,837,2ciqOzND4aTUuEtKvqnX8202k,360.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,821,120,72
110,397,BWI,768,2ciqOzND4aTUuEtKvqnX8202Q,360.60,1,36,2016-01-25T10:45,2016-01-25T14:01-05:00,752,120,67
111,397,BWI,708,2ciqOzND4aTUuEtKvqnX8202I,360.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,697,120,67
112,397,BWI,893,2ciqOzND4aTUuEtKvqnX8202s,360.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,877,120,72
113,397,BWI,893,2ciqOzND4aTUuEtKvqnX8202r,360.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,877,120,72
114,397,BWI,865,2ciqOzND4aTUuEtKvqnX8203l,360.66,1,36,2016-01-25T02:45,2016-01-25T06:00-05:00,850,120,72
115,397,BWI,865,2ciqOzND4aTUuEtKvqnX8200O,360.66,1,36,2016-01-25T02:45,2016-01-25T06:00-05:00,850,120,72
116,397,BWI,865,2ciqOzND4aTUuEtKvqnX8203m,360.66,1,36,2016-01-25T02:45,2016-01-25T06:00-05:00,850,120,72
117,397,BWI,865,2ciqOzND4aTUuEtKvqnX8200P,360.66,1,36,2016-01-25T02:45,2016-01-25T06:00-05:00,850,120,72
118,398,BWI,675,2ciqOzND4aTUuEtKvqnX8202E,361.60,1,36,2016-01-25T10:45,2016-01-25T14:01-05:00,659,120,67
