id,timeoftravel,airport,distance,duration
19,01:30,BWI,31,73
22,01:45,BWI,31,72
25,02:00,BWI,31,72
28,02:15,BWI,31,72
31,02:30,BWI,31,72
34,02:45,BWI,31,72
37,03:00,BWI,31,72
40,03:15,BWI,31,72
43,03:30,BWI,31,72
46,03:45,BWI,31,72
49,04:00,BWI,31,72
52,04:15,BWI,31,72
55,04:30,BWI,31,72
58,04:45,BWI,31,72
61,05:00,BWI,31,72
64,05:15,BWI,31,72
67,05:30,BWI,31,72
70,05:45,BWI,31,72
73,06:00,BWI,31,72
76,06:15,BWI,31,72
79,06:30,BWI,31,72
82,06:45,BWI,31,72
85,07:00,BWI,34,67
88,07:15,BWI,34,67
91,07:30,BWI,34,67
94,07:45,BWI,34,67
97,08:00,BWI,34,68
100,08:15,BWI,34,68
103,08:30,BWI,34,68
106,08:45,BWI,34,68
109,09:00,BWI,34,70
112,09:15,BWI,34,70
115,09:30,BWI,34,70
118,09:45,BWI,34,70
121,10:00,BWI,34,67
124,10:15,BWI,34,67
127,10:30,BWI,34,67
130,10:45,BWI,34,67
133,11:00,BWI,31,72
136,11:15,BWI,31,72
139,11:30,BWI,31,72
142,11:45,BWI,31,68
145,12:00,BWI,34,67
148,12:15,BWI,34,67
151,12:30,BWI,34,68
154,12:45,BWI,34,67
157,13:00,BWI,34,69
160,13:15,BWI,34,68
163,13:30,BWI,34,69
166,13:45,BWI,34,68
169,14:00,BWI,34,68
172,14:15,BWI,34,70
175,14:30,BWI,34,69
178,14:45,BWI,34,69
181,15:00,BWI,31,66
184,15:15,BWI,31,66
187,15:30,BWI,31,68
190,15:45,BWI,31,66
193,16:00,BWI,31,68
196,16:15,BWI,31,68
199,16:30,BWI,31,66
202,16:45,BWI,31,66
205,17:00,BWI,32,66
208,17:15,BWI,32,66
211,17:30,BWI,32,66
214,17:45,BWI,32,68
217,18:00,BWI,31,68
220,18:15,BWI,31,66
223,18:30,BWI,31,66
226,18:45,BWI,31,66
229,19:00,BWI,31,68
232,19:15,BWI,31,66
