id,totalcost,totalduration,airport,flightid,flightcost,parkingcost,drivingcost,timeleavehome,flightdeparture,flightduration,atairporttime,drivingduration,airline,selected
1009,421.01,800,DCA,RSETozIzLjLQdvO1tO9iRU04B,352.6,68,0.41,2016-01-25T05:15,2016-01-25T07:00-05:00,704,75,21,UA,0
130,421.31,885,BWI,2ciqOzND4aTUuEtKvqnX8203R,383.6,35.6,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,693,120,72,UA,0
533,421.41,916,IAD,0FYkDuZ1Gh6TlvJMkNtn1900M,379.3,40,2.11,2016-01-25T09:30,2016-01-25T12:31-05:00,739,120,57,AC,0
134,423.31,938,BWI,2ciqOzND4aTUuEtKvqnX8202g,385.6,35.6,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,746,120,72,UA,0
494,423.71,730,IAD,0FYkDuZ1Gh6TlvJMkNtn1901o,381.6,40,2.11,2016-01-25T05:15,2016-01-25T08:15-05:00,558,120,52,UA,0
1013,424.01,679,DCA,RSETozIzLjLQdvO1tO9iRU02j,355.6,68,0.41,2016-01-25T12:00,2016-01-25T13:45-05:00,582,75,22,UA,0
136,424.31,830,BWI,2ciqOzND4aTUuEtKvqnX8203G,386.6,35.6,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,643,120,67,UA,0
552,424.71,846,IAD,0FYkDuZ1Gh6TlvJMkNtn1904W,382.6,40,2.11,2016-01-25T05:45,2016-01-25T08:46-05:00,674,120,52,UA,0
555,424.81,911,IAD,0FYkDuZ1Gh6TlvJMkNtn1900N,382.7,40,2.11,2016-01-25T09:30,2016-01-25T12:36-05:00,734,120,57,AC,0
979,425.01,670,DCA,RSETozIzLjLQdvO1tO9iRU05w,356.6,68,0.41,2016-01-25T12:45,2016-01-25T14:30-05:00,573,75,22,UA,0
137,426.31,845,BWI,2ciqOzND4aTUuEtKvqnX8202N,388.6,35.6,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,653,120,72,UA,0
538,426.71,765,IAD,0FYkDuZ1Gh6TlvJMkNtn1903j,384.6,40,2.11,2016-01-25T09:45,2016-01-25T12:45-05:00,588,120,57,UA,0
1039,428.01,770,DCA,RSETozIzLjLQdvO1tO9iRU045,359.6,68,0.41,2016-01-25T08:00,2016-01-25T09:45-05:00,674,75,21,UA,0
561,428.04,869,IAD,0FYkDuZ1Gh6TlvJMkNtn1900K,385.93,40,2.11,2016-01-25T09:30,2016-01-25T12:31-05:00,692,120,57,AC,0
1016,429.01,832,DCA,RSETozIzLjLQdvO1tO9iRU04r,360.6,68,0.41,2016-01-25T09:15,2016-01-25T11:00-05:00,731,75,26,UA,0
1017,430.01,824,DCA,RSETozIzLjLQdvO1tO9iRU07B,361.6,68,0.41,2016-01-25T10:15,2016-01-25T12:05-05:00,728,75,21,UA,0
565,433.71,924,IAD,0FYkDuZ1Gh6TlvJMkNtn1905A,391.6,40,2.11,2016-01-25T09:30,2016-01-25T12:33-05:00,747,120,57,UA,0
140,435.31,820,BWI,2ciqOzND4aTUuEtKvqnX8203M,397.6,35.6,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,628,120,72,UA,0
566,435.71,827,IAD,0FYkDuZ1Gh6TlvJMkNtn1906X,393.6,40,2.11,2016-01-25T09:30,2016-01-25T12:30-05:00,650,120,57,UA,0
1021,438.01,856,DCA,RSETozIzLjLQdvO1tO9iRU07L,369.6,68,0.41,2016-01-25T11:00,2016-01-25T12:45-05:00,760,75,21,UA,0
146,438.31,968,BWI,2ciqOzND4aTUuEtKvqnX8202q,400.6,35.6,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,776,120,72,UA,0
1025,439.01,839,DCA,RSETozIzLjLQdvO1tO9iRU059,370.6,68,0.41,2016-01-25T05:15,2016-01-25T07:00-05:00,743,75,21,UA,0
542,440.71,794,IAD,0FYkDuZ1Gh6TlvJMkNtn1904M,398.6,40,2.11,2016-01-25T11:30,2016-01-25T14:28-05:00,622,120,52,UA,0
1043,441.01,666,DCA,RSETozIzLjLQdvO1tO9iRU00r,372.6,68,0.41,2016-01-25T05:15,2016-01-25T07:00-05:00,570,75,21,UA,0
572,443.71,927,IAD,0FYkDuZ1Gh6TlvJMkNtn1905N,401.6,40,2.11,2016-01-25T09:30,2016-01-25T12:30-05:00,750,120,57,UA,0
1028,444.01,847,DCA,RSETozIzLjLQdvO1tO9iRU07N,375.6,68,0.41,2016-01-25T10:15,2016-01-25T12:05-05:00,751,75,21,UA,0
1174,446.01,770,DCA,RSETozIzLjLQdvO1tO9iRU04j,377.6,68,0.41,2016-01-25T13:00,2016-01-25T14:39-05:00,674,75,21,UA,0
1047,447.01,797,DCA,RSETozIzLjLQdvO1tO9iRU04x,378.6,68,0.41,2016-01-25T07:00,2016-01-25T08:39-05:00,701,75,21,UA,0
575,447.71,841,IAD,0FYkDuZ1Gh6TlvJMkNtn1900J,405.6,40,2.11,2016-01-25T08:45,2016-01-25T11:52-05:00,669,120,52,B6,0
1051,449.01,752,DCA,RSETozIzLjLQdvO1tO9iRU04J,380.6,68,0.41,2016-01-25T09:15,2016-01-25T11:00-05:00,651,75,26,UA,0
769,449.71,823,IAD,0FYkDuZ1Gh6TlvJMkNtn1904n,407.6,40,2.11,2016-01-25T07:15,2016-01-25T10:15-05:00,651,120,52,UA,0
549,450.71,777,IAD,0FYkDuZ1Gh6TlvJMkNtn1904R,408.6,40,2.11,2016-01-25T07:15,2016-01-25T10:15-05:00,605,120,52,UA,0
148,450.81,930,BWI,2ciqOzND4aTUuEtKvqnX8202P,413.1,35.6,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,738,120,72,UA,0
1037,452.01,716,DCA,RSETozIzLjLQdvO1tO9iRU06n,383.6,68,0.41,2016-01-25T04:15,2016-01-25T06:00-05:00,620,75,21,UA,0
576,452.59,916,IAD,0FYkDuZ1Gh6TlvJMkNtn1907C,410.48,40,2.11,2016-01-25T09:30,2016-01-25T12:31-05:00,739,120,57,UA,0
1053,453.01,650,DCA,RSETozIzLjLQdvO1tO9iRU01w,384.6,68,0.41,2016-01-25T06:45,2016-01-25T08:30-05:00,554,75,21,UA,0
579,454.91,869,IAD,0FYkDuZ1Gh6TlvJMkNtn1906v,412.8,40,2.11,2016-01-25T09:30,2016-01-25T12:31-05:00,692,120,57,UA,0
581,455.99,869,IAD,0FYkDuZ1Gh6TlvJMkNtn19059,413.88,40,2.11,2016-01-25T09:30,2016-01-25T12:31-05:00,692,120,57,UA,0
735,460.71,884,IAD,0FYkDuZ1Gh6TlvJMkNtn1905O,418.6,40,2.11,2016-01-25T07:15,2016-01-25T10:15-05:00,712,120,52,UA,0
