id,totalcost,totalduration,airport,flightid,flightcost,parkingcost,drivingcost,timeleavehome,flightdeparture,flightduration,atairporttime,drivingduration,airline,costperhour
1,180.81,552,BWI,2ciqOzND4aTUuEtKvqnX82002,143.10,35.60,2.11,2016-01-25T04:15,2016-01-25T07:40-05:00,360,120,72,AS,20.0900000000000000
2,189.31,698,BWI,2ciqOzND4aTUuEtKvqnX82007,151.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,511,120,67,UA,17.2100000000000000
3,189.31,821,BWI,2ciqOzND4aTUuEtKvqnX8200d,151.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,629,120,72,UA,14.5623076923076923
4,194.31,795,BWI,2ciqOzND4aTUuEtKvqnX8200E,156.60,35.60,2.11,2016-01-25T14:00,2016-01-25T17:15-05:00,607,120,68,AS,14.9469230769230769
5,194.31,775,BWI,2ciqOzND4aTUuEtKvqnX8200D,156.60,35.60,2.11,2016-01-25T14:00,2016-01-25T17:15-05:00,587,120,68,AS,16.1925000000000000
6,217.31,683,BWI,2ciqOzND4aTUuEtKvqnX8200U,179.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,491,120,72,UA,19.7554545454545455
7,228.31,787,BWI,2ciqOzND4aTUuEtKvqnX8200F,190.60,35.60,2.11,2016-01-25T13:00,2016-01-25T16:10-05:00,598,120,69,B6,17.5623076923076923
8,232.31,922,BWI,2ciqOzND4aTUuEtKvqnX8200s,194.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,735,120,67,UA,15.4873333333333333
9,232.31,922,BWI,2ciqOzND4aTUuEtKvqnX8200r,194.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,735,120,67,UA,15.4873333333333333
10,232.31,842,BWI,2ciqOzND4aTUuEtKvqnX8200k,194.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,655,120,67,UA,16.5935714285714286
11,240.31,974,BWI,2ciqOzND4aTUuEtKvqnX82012,202.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,787,120,67,UA,15.0193750000000000
12,240.31,830,BWI,2ciqOzND4aTUuEtKvqnX8200l,202.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,643,120,67,UA,18.4853846153846154
13,266.31,1067,BWI,2ciqOzND4aTUuEtKvqnX8201t,228.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,875,120,72,UA,15.6652941176470588
14,266.31,1067,BWI,2ciqOzND4aTUuEtKvqnX8201u,228.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,875,120,72,UA,15.6652941176470588
15,266.31,965,BWI,2ciqOzND4aTUuEtKvqnX8201L,228.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,778,120,67,UA,16.6443750000000000
16,266.31,899,BWI,2ciqOzND4aTUuEtKvqnX82010,228.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,712,120,67,UA,19.0221428571428571
17,266.31,965,BWI,2ciqOzND4aTUuEtKvqnX8201K,228.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,778,120,67,UA,16.6443750000000000
18,266.31,1142,BWI,2ciqOzND4aTUuEtKvqnX82028,228.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,950,120,72,UA,14.0163157894736842
19,266.31,804,BWI,2ciqOzND4aTUuEtKvqnX8200n,228.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,617,120,67,UA,20.4853846153846154
20,266.31,1097,BWI,2ciqOzND4aTUuEtKvqnX8201z,228.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,905,120,72,UA,14.7950000000000000
21,266.31,1006,BWI,2ciqOzND4aTUuEtKvqnX8201X,228.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,819,120,67,UA,16.6443750000000000
22,266.31,1058,BWI,2ciqOzND4aTUuEtKvqnX8201r,228.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,866,120,72,UA,15.6652941176470588
23,270.31,699,BWI,2ciqOzND4aTUuEtKvqnX8200f,232.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,507,120,72,UA,24.5736363636363636
24,270.31,667,BWI,2ciqOzND4aTUuEtKvqnX8200X,232.60,35.60,2.11,2016-01-25T13:45,2016-01-25T17:01-05:00,479,120,68,UA,24.5736363636363636
25,270.31,794,BWI,2ciqOzND4aTUuEtKvqnX8200m,232.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,607,120,67,UA,20.7930769230769231
26,272.31,1289,BWI,2ciqOzND4aTUuEtKvqnX8200N,234.60,35.60,2.11,2016-01-25T03:00,2016-01-25T06:20-05:00,1097,120,72,B6,12.9671428571428571
27,275.31,832,BWI,2ciqOzND4aTUuEtKvqnX8200u,237.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,645,120,67,UA,21.1776923076923077
28,277.31,822,BWI,2ciqOzND4aTUuEtKvqnX8200t,239.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,635,120,67,UA,21.3315384615384615
29,277.31,913,BWI,2ciqOzND4aTUuEtKvqnX82017,239.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,721,120,72,UA,18.4873333333333333
30,277.31,952,BWI,2ciqOzND4aTUuEtKvqnX8201O,239.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,760,120,72,UA,18.4873333333333333
31,277.31,954,BWI,2ciqOzND4aTUuEtKvqnX8201Q,239.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,767,120,67,UA,18.4873333333333333
32,277.31,1055,BWI,2ciqOzND4aTUuEtKvqnX8201v,239.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,863,120,72,UA,16.3123529411764706
33,277.31,913,BWI,2ciqOzND4aTUuEtKvqnX82018,239.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,721,120,72,UA,18.4873333333333333
34,277.31,992,BWI,2ciqOzND4aTUuEtKvqnX8201d,239.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,800,120,72,UA,17.3318750000000000
35,277.31,966,BWI,2ciqOzND4aTUuEtKvqnX8201V,239.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,779,120,67,UA,17.3318750000000000
36,277.31,1031,BWI,2ciqOzND4aTUuEtKvqnX8201o,239.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,839,120,72,UA,16.3123529411764706
37,277.31,925,BWI,2ciqOzND4aTUuEtKvqnX8201F,239.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,733,120,72,UA,18.4873333333333333
38,277.31,992,BWI,2ciqOzND4aTUuEtKvqnX8201e,239.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,800,120,72,UA,17.3318750000000000
39,282.31,965,BWI,2ciqOzND4aTUuEtKvqnX8201W,244.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,773,120,72,UA,17.6443750000000000
40,282.31,1110,BWI,2ciqOzND4aTUuEtKvqnX82034,244.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,918,120,72,UA,15.6838888888888889
41,282.31,927,BWI,2ciqOzND4aTUuEtKvqnX82026,244.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,735,120,72,UA,18.8206666666666667
42,282.31,1009,BWI,2ciqOzND4aTUuEtKvqnX8202m,244.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,822,120,67,UA,17.6443750000000000
43,282.31,1116,BWI,2ciqOzND4aTUuEtKvqnX82035,244.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,924,120,72,UA,15.6838888888888889
44,282.31,926,BWI,2ciqOzND4aTUuEtKvqnX8200q,244.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,734,120,72,UA,18.8206666666666667
45,282.31,1029,BWI,2ciqOzND4aTUuEtKvqnX8202p,244.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,842,120,67,UA,16.6064705882352941
46,282.31,1157,BWI,2ciqOzND4aTUuEtKvqnX8203D,244.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,965,120,72,UA,14.8584210526315789
47,282.31,971,BWI,2ciqOzND4aTUuEtKvqnX8202a,244.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,784,120,67,UA,17.6443750000000000
48,282.32,1109,BWI,2ciqOzND4aTUuEtKvqnX8200L,244.61,35.60,2.11,2016-01-25T06:00,2016-01-25T09:20-05:00,917,120,72,B6,15.6844444444444444
49,282.32,1109,BWI,2ciqOzND4aTUuEtKvqnX8200M,244.61,35.60,2.11,2016-01-25T06:00,2016-01-25T09:20-05:00,917,120,72,B6,15.6844444444444444
50,286.31,1210,BWI,2ciqOzND4aTUuEtKvqnX8203Z,248.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,1018,120,72,UA,14.3155000000000000
51,286.31,1042,BWI,2ciqOzND4aTUuEtKvqnX8201x,248.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,850,120,72,UA,16.8417647058823529
