id,airport,departuretime,arrivaltime,duration,cost,tripid
1099,IAD,2016-01-25T08:46-05:00,2016-01-25T18:51-08:00,785,382.60,0FYkDuZ1Gh6TlvJMkNtn1905C
1100,IAD,2016-01-25T08:46-05:00,2016-01-25T17:00-08:00,674,382.60,0FYkDuZ1Gh6TlvJMkNtn1904W
1101,IAD,2016-01-25T08:46-05:00,2016-01-25T19:10-08:00,804,382.60,0FYkDuZ1Gh6TlvJMkNtn1905P
1103,IAD,2016-01-25T12:36-05:00,2016-01-25T21:50-08:00,734,382.70,0FYkDuZ1Gh6TlvJMkNtn1900N
1104,IAD,2016-01-25T12:36-05:00,2016-01-25T21:50-08:00,734,382.70,0FYkDuZ1Gh6TlvJMkNtn1906o
1160,IAD,2016-01-25T08:20-05:00,2016-01-25T16:53-08:00,693,421.60,0FYkDuZ1Gh6TlvJMkNtn19075
1161,IAD,2016-01-25T12:45-05:00,2016-01-25T22:13-08:00,748,421.60,0FYkDuZ1Gh6TlvJMkNtn1907Q
1106,IAD,2016-01-25T08:15-05:00,2016-01-25T17:38-08:00,743,384.60,0FYkDuZ1Gh6TlvJMkNtn1904z
1107,IAD,2016-01-25T08:20-05:00,2016-01-25T17:38-08:00,738,384.60,0FYkDuZ1Gh6TlvJMkNtn1904y
1108,IAD,2016-01-25T08:20-05:00,2016-01-25T16:42-08:00,682,384.60,0FYkDuZ1Gh6TlvJMkNtn1904d
1126,IAD,2016-01-25T14:28-05:00,2016-01-25T21:50-08:00,622,398.60,0FYkDuZ1Gh6TlvJMkNtn1904M
1131,IAD,2016-01-25T12:30-05:00,2016-01-25T23:59-08:00,869,407.60,0FYkDuZ1Gh6TlvJMkNtn1906L
1132,IAD,2016-01-25T10:15-05:00,2016-01-25T19:22-08:00,727,407.60,0FYkDuZ1Gh6TlvJMkNtn1905F
1133,IAD,2016-01-25T10:15-05:00,2016-01-25T20:37-08:00,802,407.60,0FYkDuZ1Gh6TlvJMkNtn1905k
1134,IAD,2016-01-25T09:23-05:00,2016-01-25T20:37-08:00,854,407.60,0FYkDuZ1Gh6TlvJMkNtn1906H
1135,IAD,2016-01-25T12:32-05:00,2016-01-25T21:45-08:00,733,407.60,0FYkDuZ1Gh6TlvJMkNtn1905J
1149,IAD,2016-01-25T10:15-05:00,2016-01-25T17:20-08:00,605,408.60,0FYkDuZ1Gh6TlvJMkNtn1904R
1156,IAD,2016-01-25T08:13-05:00,2016-01-25T18:10-08:00,777,416.60,0FYkDuZ1Gh6TlvJMkNtn1905c
1162,IAD,2016-01-25T12:32-05:00,2016-01-25T21:21-08:00,709,426.60,0FYkDuZ1Gh6TlvJMkNtn1904K
1163,IAD,2016-01-25T12:32-05:00,2016-01-25T20:21-08:00,649,426.60,0FYkDuZ1Gh6TlvJMkNtn1903p
1164,IAD,2016-01-25T12:32-05:00,2016-01-25T19:51-08:00,619,426.60,0FYkDuZ1Gh6TlvJMkNtn1903U
1165,IAD,2016-01-25T12:32-05:00,2016-01-25T19:13-08:00,581,426.60,0FYkDuZ1Gh6TlvJMkNtn19036
1166,IAD,2016-01-25T12:32-05:00,2016-01-25T18:22-08:00,530,426.60,0FYkDuZ1Gh6TlvJMkNtn1902W
1167,IAD,2016-01-25T08:10-05:00,2016-01-25T18:06-08:00,776,427.60,0FYkDuZ1Gh6TlvJMkNtn1905z
1168,IAD,2016-01-25T14:28-05:00,2016-01-25T22:53-08:00,685,427.60,0FYkDuZ1Gh6TlvJMkNtn1905K
1169,IAD,2016-01-25T08:25-05:00,2016-01-25T19:22-08:00,837,427.60,0FYkDuZ1Gh6TlvJMkNtn1906R
1170,IAD,2016-01-25T08:10-05:00,2016-01-25T19:22-08:00,852,427.60,0FYkDuZ1Gh6TlvJMkNtn1906V
1111,IAD,2016-01-25T12:19-05:00,2016-01-25T21:03-08:00,704,385.93,0FYkDuZ1Gh6TlvJMkNtn1906g
1112,IAD,2016-01-25T12:36-05:00,2016-01-25T21:50-08:00,734,385.93,0FYkDuZ1Gh6TlvJMkNtn1904x
1113,IAD,2016-01-25T12:31-05:00,2016-01-25T21:03-08:00,692,385.93,0FYkDuZ1Gh6TlvJMkNtn1906e
1114,IAD,2016-01-25T12:31-05:00,2016-01-25T23:23-08:00,832,385.93,0FYkDuZ1Gh6TlvJMkNtn1900P
1115,IAD,2016-01-25T12:31-05:00,2016-01-25T21:03-08:00,692,385.93,0FYkDuZ1Gh6TlvJMkNtn1900K
1116,IAD,2016-01-25T12:19-05:00,2016-01-25T21:03-08:00,704,385.93,0FYkDuZ1Gh6TlvJMkNtn1900L
1119,IAD,2016-01-25T12:33-05:00,2016-01-25T22:00-08:00,747,391.60,0FYkDuZ1Gh6TlvJMkNtn1905A
1120,IAD,2016-01-25T12:30-05:00,2016-01-25T20:20-08:00,650,393.60,0FYkDuZ1Gh6TlvJMkNtn1906X
1121,IAD,2016-01-25T08:39-05:00,2016-01-25T14:44-08:00,545,394.60,0FYkDuZ1Gh6TlvJMkNtn1901x
1122,IAD,2016-01-25T06:00-05:00,2016-01-25T13:30-08:00,630,394.60,0FYkDuZ1Gh6TlvJMkNtn1900v
1123,IAD,2016-01-25T08:25-05:00,2016-01-25T13:30-08:00,485,394.60,0FYkDuZ1Gh6TlvJMkNtn1900t
1124,IAD,2016-01-25T06:20-05:00,2016-01-25T14:44-08:00,684,394.60,0FYkDuZ1Gh6TlvJMkNtn1903J
1125,IAD,2016-01-25T08:20-05:00,2016-01-25T14:44-08:00,564,394.60,0FYkDuZ1Gh6TlvJMkNtn1902F
1127,IAD,2016-01-25T12:30-05:00,2016-01-25T22:00-08:00,750,401.60,0FYkDuZ1Gh6TlvJMkNtn1905N
1128,IAD,2016-01-25T12:47-05:00,2016-01-25T23:32-08:00,825,403.60,0FYkDuZ1Gh6TlvJMkNtn1907a
1129,IAD,2016-01-25T12:30-05:00,2016-01-25T21:05-08:00,695,405.60,0FYkDuZ1Gh6TlvJMkNtn19052
1130,IAD,2016-01-25T11:52-05:00,2016-01-25T20:01-08:00,669,405.60,0FYkDuZ1Gh6TlvJMkNtn1900J
1150,IAD,2016-01-25T12:31-05:00,2016-01-25T21:50-08:00,739,410.48,0FYkDuZ1Gh6TlvJMkNtn1907C
1151,IAD,2016-01-25T12:31-05:00,2016-01-25T23:23-08:00,832,412.80,0FYkDuZ1Gh6TlvJMkNtn1907m
1152,IAD,2016-01-25T12:31-05:00,2016-01-25T23:23-08:00,832,412.80,0FYkDuZ1Gh6TlvJMkNtn1907l
1153,IAD,2016-01-25T12:31-05:00,2016-01-25T21:03-08:00,692,412.80,0FYkDuZ1Gh6TlvJMkNtn1906v
1154,IAD,2016-01-25T12:31-05:00,2016-01-25T23:23-08:00,832,412.80,0FYkDuZ1Gh6TlvJMkNtn1907n
1155,IAD,2016-01-25T12:31-05:00,2016-01-25T21:03-08:00,692,413.88,0FYkDuZ1Gh6TlvJMkNtn19059
1214,IAD,2016-01-25T09:10-05:00,2016-01-25T20:01-08:00,831,454.61,0FYkDuZ1Gh6TlvJMkNtn1900T
1215,IAD,2016-01-25T09:10-05:00,2016-01-25T20:01-08:00,831,454.61,0FYkDuZ1Gh6TlvJMkNtn1900S
1224,IAD,2016-01-25T08:25-05:00,2016-01-25T17:50-08:00,745,463.60,0FYkDuZ1Gh6TlvJMkNtn19080
1171,IAD,2016-01-25T08:46-05:00,2016-01-25T18:51-08:00,785,427.60,0FYkDuZ1Gh6TlvJMkNtn19064
1172,IAD,2016-01-25T16:10-05:00,2016-01-25T22:53-08:00,583,427.60,0FYkDuZ1Gh6TlvJMkNtn1904i
1200,IAD,2016-01-25T12:30-05:00,2016-01-25T21:50-08:00,740,435.60,0FYkDuZ1Gh6TlvJMkNtn1905o
1201,IAD,2016-01-25T12:30-05:00,2016-01-25T21:50-08:00,740,435.60,0FYkDuZ1Gh6TlvJMkNtn1905p
1202,IAD,2016-01-25T08:13-05:00,2016-01-25T17:44-08:00,751,435.60,0FYkDuZ1Gh6TlvJMkNtn1907c
1204,IAD,2016-01-25T08:13-05:00,2016-01-25T18:08-08:00,775,438.60,0FYkDuZ1Gh6TlvJMkNtn1906E
1208,IAD,2016-01-25T12:25-05:00,2016-01-25T22:00-08:00,755,443.60,0FYkDuZ1Gh6TlvJMkNtn1906B
1218,IAD,2016-01-25T12:35-05:00,2016-01-25T23:33-08:00,838,459.60,0FYkDuZ1Gh6TlvJMkNtn1906p
1219,IAD,2016-01-25T12:35-05:00,2016-01-25T20:55-08:00,680,459.60,0FYkDuZ1Gh6TlvJMkNtn1905n
1220,IAD,2016-01-25T12:35-05:00,2016-01-25T21:15-08:00,700,459.60,0FYkDuZ1Gh6TlvJMkNtn19061
